,ADANIENT.csv,ADANIPORTS.csv,APOLLOHOSP.csv,ASIANPAINT.csv,AXISBANK.csv,BAJAJ-AUTO.csv,BAJAJFINSV.csv,BAJFINANCE.csv,BANKNIFTY.csv,BEL.csv,BHARTIARTL.csv,BPCL.csv,BRITANNIA.csv,CIPLA.csv,COALINDIA.csv,DRREDDY.csv,EICHERMOT.csv,GRASIM.csv,HCLTECH.csv,HDFCBANK.csv,HDFCLIFE.csv,HEROMOTOCO.csv,HINDALCO.csv,HINDUNILVR.csv,ICICIBANK.csv,INDUSINDBK.csv,INFY.csv,ITC.csv,JSWSTEEL.csv,KOTAKBANK.csv,LT.csv,M&M.csv,MARUTI.csv,NESTLEIND.csv,NIFTY50.csv,NTPC.csv,ONGC.csv,POWERGRID.csv,RELIANCE.csv,SBILIFE.csv,SBIN.csv,SHRIRAMFIN.csv,SUNPHARMA.csv,TATACONSUM.csv,TATAMOTORS.csv,TATASTEEL.csv,TCS.csv,TECHM.csv,TITAN.csv,TRENT.csv,ULTRACEMCO.csv,WIPRO.csv
ADANIENT.csv,N/A,not-cointegrated,not-cointegrated,not-cointegrated,not-cointegrated,not-cointegrated,not-cointegrated,not-cointegrated,not-cointegrated,not-cointegrated,not-cointegrated,not-cointegrated,not-cointegrated,not-cointegrated,not-cointegrated,not-cointegrated,not-cointegrated,not-cointegrated,not-cointegrated,not-cointegrated,not-cointegrated,not-cointegrated,not-cointegrated,not-cointegrated,not-cointegrated,not-cointegrated,not-cointegrated,not-cointegrated,not-cointegrated,not-cointegrated,not-cointegrated,not-cointegrated,not-cointegrated,not-cointegrated,not-cointegrated,not-cointegrated,not-cointegrated,not-cointegrated,not-cointegrated,not-cointegrated,not-cointegrated,not-cointegrated,not-cointegrated,not-cointegrated,not-cointegrated,not-cointegrated,not-cointegrated,not-cointegrated,not-cointegrated,not-cointegrated,not-cointegrated,not-cointegrated
ADANIPORTS.csv,not-cointegrated,N/A,not-cointegrated,not-cointegrated,not-cointegrated,cointegrated,not-cointegrated,not-cointegrated,not-cointegrated,not-cointegrated,not-cointegrated,not-cointegrated,not-cointegrated,cointegrated,cointegrated,cointegrated,not-cointegrated,not-cointegrated,not-cointegrated,not-cointegrated,not-cointegrated,cointegrated,not-cointegrated,not-cointegrated,not-cointegrated,not-cointegrated,not-cointegrated,not-cointegrated,not-cointegrated,not-cointegrated,not-cointegrated,not-cointegrated,not-cointegrated,not-cointegrated,not-cointegrated,not-cointegrated,cointegrated,cointegrated,not-cointegrated,not-cointegrated,not-cointegrated,not-cointegrated,not-cointegrated,not-cointegrated,not-cointegrated,not-cointegrated,not-cointegrated,not-cointegrated,not-cointegrated,not-cointegrated,not-cointegrated,not-cointegrated
APOLLOHOSP.csv,not-cointegrated,not-cointegrated,N/A,not-cointegrated,not-cointegrated,not-cointegrated,not-cointegrated,not-cointegrated,not-cointegrated,cointegrated,cointegrated,not-cointegrated,not-cointegrated,cointegrated,not-cointegrated,cointegrated,not-cointegrated,cointegrated,cointegrated,not-cointegrated,not-cointegrated,not-cointegrated,not-cointegrated,not-cointegrated,cointegrated,not-cointegrated,not-cointegrated,not-cointegrated,not-cointegrated,not-cointegrated,not-cointegrated,cointegrated,not-cointegrated,not-cointegrated,cointegrated,not-cointegrated,not-cointegrated,cointegrated,not-cointegrated,not-cointegrated,not-cointegrated,not-cointegrated,cointegrated,not-cointegrated,not-cointegrated,not-cointegrated,cointegrated,not-cointegrated,not-cointegrated,cointegrated,cointegrated,not-cointegrated
ASIANPAINT.csv,not-cointegrated,not-cointegrated,not-cointegrated,N/A,not-cointegrated,not-cointegrated,not-cointegrated,not-cointegrated,not-cointegrated,not-cointegrated,not-cointegrated,not-cointegrated,not-cointegrated,not-cointegrated,not-cointegrated,not-cointegrated,not-cointegrated,not-cointegrated,not-cointegrated,not-cointegrated,not-cointegrated,not-cointegrated,not-cointegrated,not-cointegrated,not-cointegrated,not-cointegrated,not-cointegrated,not-cointegrated,not-cointegrated,not-cointegrated,not-cointegrated,not-cointegrated,not-cointegrated,not-cointegrated,not-cointegrated,not-cointegrated,not-cointegrated,not-cointegrated,not-cointegrated,not-cointegrated,not-cointegrated,not-cointegrated,not-cointegrated,not-cointegrated,not-cointegrated,not-cointegrated,not-cointegrated,not-cointegrated,not-cointegrated,not-cointegrated,not-cointegrated,not-cointegrated
AXISBANK.csv,not-cointegrated,not-cointegrated,not-cointegrated,not-cointegrated,N/A,not-cointegrated,not-cointegrated,not-cointegrated,not-cointegrated,not-cointegrated,not-cointegrated,not-cointegrated,cointegrated,cointegrated,cointegrated,cointegrated,not-cointegrated,not-cointegrated,not-cointegrated,not-cointegrated,not-cointegrated,not-cointegrated,not-cointegrated,not-cointegrated,not-cointegrated,not-cointegrated,not-cointegrated,not-cointegrated,not-cointegrated,not-cointegrated,cointegrated,not-cointegrated,cointegrated,cointegrated,not-cointegrated,cointegrated,not-cointegrated,not-cointegrated,not-cointegrated,not-cointegrated,not-cointegrated,not-cointegrated,not-cointegrated,not-cointegrated,not-cointegrated,not-cointegrated,not-cointegrated,not-cointegrated,not-cointegrated,not-cointegrated,not-cointegrated,not-cointegrated
BAJAJ-AUTO.csv,not-cointegrated,cointegrated,not-cointegrated,not-cointegrated,not-cointegrated,N/A,not-cointegrated,not-cointegrated,not-cointegrated,not-cointegrated,not-cointegrated,not-cointegrated,not-cointegrated,not-cointegrated,not-cointegrated,not-cointegrated,not-cointegrated,cointegrated,not-cointegrated,not-cointegrated,not-cointegrated,not-cointegrated,not-cointegrated,not-cointegrated,not-cointegrated,not-cointegrated,not-cointegrated,not-cointegrated,not-cointegrated,not-cointegrated,not-cointegrated,not-cointegrated,not-cointegrated,not-cointegrated,not-cointegrated,not-cointegrated,cointegrated,not-cointegrated,not-cointegrated,not-cointegrated,not-cointegrated,cointegrated,not-cointegrated,not-cointegrated,not-cointegrated,not-cointegrated,not-cointegrated,not-cointegrated,not-cointegrated,not-cointegrated,not-cointegrated,not-cointegrated
BAJAJFINSV.csv,not-cointegrated,not-cointegrated,not-cointegrated,not-cointegrated,not-cointegrated,not-cointegrated,N/A,cointegrated,not-cointegrated,not-cointegrated,not-cointegrated,not-cointegrated,not-cointegrated,not-cointegrated,not-cointegrated,not-cointegrated,not-cointegrated,not-cointegrated,not-cointegrated,not-cointegrated,not-cointegrated,not-cointegrated,not-cointegrated,not-cointegrated,not-cointegrated,not-cointegrated,not-cointegrated,not-cointegrated,not-cointegrated,not-cointegrated,not-cointegrated,not-cointegrated,not-cointegrated,not-cointegrated,not-cointegrated,not-cointegrated,not-cointegrated,not-cointegrated,not-cointegrated,not-cointegrated,not-cointegrated,not-cointegrated,not-cointegrated,not-cointegrated,not-cointegrated,not-cointegrated,not-cointegrated,not-cointegrated,not-cointegrated,not-cointegrated,not-cointegrated,not-cointegrated
BAJFINANCE.csv,not-cointegrated,not-cointegrated,not-cointegrated,not-cointegrated,not-cointegrated,not-cointegrated,cointegrated,N/A,not-cointegrated,not-cointegrated,not-cointegrated,not-cointegrated,not-cointegrated,not-cointegrated,not-cointegrated,not-cointegrated,not-cointegrated,not-cointegrated,not-cointegrated,not-cointegrated,not-cointegrated,not-cointegrated,not-cointegrated,not-cointegrated,not-cointegrated,not-cointegrated,not-cointegrated,not-cointegrated,not-cointegrated,not-cointegrated,not-cointegrated,not-cointegrated,not-cointegrated,not-cointegrated,not-cointegrated,not-cointegrated,not-cointegrated,not-cointegrated,not-cointegrated,not-cointegrated,not-cointegrated,not-cointegrated,not-cointegrated,not-cointegrated,not-cointegrated,not-cointegrated,not-cointegrated,not-cointegrated,not-cointegrated,not-cointegrated,not-cointegrated,not-cointegrated
BANKNIFTY.csv,not-cointegrated,not-cointegrated,not-cointegrated,not-cointegrated,not-cointegrated,not-cointegrated,not-cointegrated,not-cointegrated,N/A,cointegrated,not-cointegrated,not-cointegrated,cointegrated,cointegrated,not-cointegrated,cointegrated,cointegrated,not-cointegrated,not-cointegrated,not-cointegrated,not-cointegrated,not-cointegrated,not-cointegrated,not-cointegrated,not-cointegrated,not-cointegrated,not-cointegrated,not-cointegrated,not-cointegrated,not-cointegrated,cointegrated,not-cointegrated,cointegrated,not-cointegrated,not-cointegrated,not-cointegrated,not-cointegrated,not-cointegrated,not-cointegrated,not-cointegrated,not-cointegrated,not-cointegrated,cointegrated,not-cointegrated,not-cointegrated,not-cointegrated,not-cointegrated,not-cointegrated,not-cointegrated,not-cointegrated,not-cointegrated,not-cointegrated
BEL.csv,not-cointegrated,not-cointegrated,cointegrated,not-cointegrated,not-cointegrated,not-cointegrated,not-cointegrated,not-cointegrated,cointegrated,N/A,not-cointegrated,not-cointegrated,not-cointegrated,not-cointegrated,not-cointegrated,not-cointegrated,cointegrated,cointegrated,not-cointegrated,not-cointegrated,not-cointegrated,not-cointegrated,not-cointegrated,not-cointegrated,not-cointegrated,not-cointegrated,not-cointegrated,not-cointegrated,not-cointegrated,not-cointegrated,not-cointegrated,not-cointegrated,not-cointegrated,not-cointegrated,not-cointegrated,not-cointegrated,not-cointegrated,cointegrated,not-cointegrated,not-cointegrated,cointegrated,not-cointegrated,cointegrated,not-cointegrated,not-cointegrated,not-cointegrated,not-cointegrated,not-cointegrated,not-cointegrated,not-cointegrated,not-cointegrated,not-cointegrated
